bank_transaction_id,bank_operation_date,bank_amount,bank_ref,bank_payment_class,bank_label,customer_transaction_id,customer_accounting_date,customer_amount,customer_document_number,customer_external_doc_number,customer_payment_type,customer_description,score
75543,2025-03-03,-70134.838,9387094684,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 280225 LCN 9387094684,9469,2025-03-03,-28750.0,BVC250000407,10155319843,CLT EFFET,Valider Impayé via escompte,32.5
75549,2025-03-03,-17586.235,9914949963,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 280225 LCN 9914949963,9469,2025-03-03,-28750.0,BVC250000407,10155319843,CLT EFFET,Valider Impayé via escompte,33.0
75582,2025-03-04,-18663.168,10155406561,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 030325 LCN 10155406561,9498,2025-03-04,5683.163,BEB24000156,10155426640,CLT EFFET,Validation Effet escompté en Banque,37.0
75585,2025-03-04,-26045.276,9914947150,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 020325 LCN 9914947150,9511,2025-03-05,31880.975,BEB24000157,10155454770,CLT EFFET,Validation Effet escompté en Banque,31.644736842105264
75594,2025-03-05,155194.191,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:3,9509,2025-03-05,17341.261,BEB24000157,10155452345,CLT EFFET,Validation Effet escompté en Banque,25.0
75613,2025-03-07,95630.963,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:3,9328,2025-02-07,95630.963,BEB24000137,10155430035,CLT EFFET,Validation Effet escompté en Banque,60.0
75624,2025-03-10,161448.184,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,9539,2025-03-10,-28750.0,BVC250000409,10155323044,CLT EFFET,Valider Impayé via escompte,25.0
75635,2025-03-11,-33100.0,10155346421,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 100325 LCN 10155346421,9540,2025-03-11,-33100.0,BVC250000427,10155346421,CLT EFFET,Valider Impayé via escompte,100.0
75638,2025-03-11,-18766.609,10031573742,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 100325 LCN 10031573742,9540,2025-03-11,-33100.0,BVC250000427,10155346421,CLT EFFET,Valider Impayé via escompte,35.0
75677,2025-03-17,-28750.0,10155323238,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 140325 LCN 10155323238,9561,2025-03-17,-28750.0,BVC250000410,10155323238,CLT EFFET,Valider Impayé via escompte,100.0
75687,2025-03-18,-39986.598,10109499468,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 150325 LCN 10109499468,9600,2025-03-19,84320.153,BEB24000173,10155448756,CLT EFFET,Validation Effet escompté en Banque,33.223684210526315
75690,2025-03-18,-18719.325,10109449804,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 160325 LCN 10109449804,9620,2025-03-24,18719.325,BEB24000204,1,CLT EFFET,Validation Effet escompté en Banque,90.0
