agios_id,agios_amount,agios_date_ref,agios_operation_date,agios_label,agios_ref,matched,match_method,origine_id,origine_ref,origine_date_ref,origine_amount,origine_internal_number,customer_doc_number,simulated_agios,difference,is_total_match,match_failure_reason,checked_doc_numbers_count,no_tax_rows_docs_count,mismatch_docs_count,checked_doc_numbers,no_tax_rows_doc_numbers,mismatch_doc_details,checked_customer_transactions_details
239915,-861.924,2025-08-18,2025-09-01,REMISE EFFET/ESCOMPTE AGENCE DU 18 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-18,0.0,0.0,0.0,,,,
239913,-1929.211,2025-08-18,2025-09-01,REMISE EFFET/ESCOMPTE AGENCE DU 18 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-18,0.0,0.0,0.0,,,,
239914,-6383.214,2025-08-18,2025-09-01,REMISE EFFET/ESCOMPTE AGENCE DU 18 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-18,0.0,0.0,0.0,,,,
239964,-1780.414,2025-08-21,2025-09-02,REMISE EFFET/ESCOMPTE AGENCE DU 21 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-21,0.0,0.0,0.0,,,,
239963,-4385.5,2025-08-25,2025-09-02,REMISE EFFET/ESCOMPTE AGENCE DU 25 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-25,0.0,0.0,0.0,,,,
240016,-541.394,2025-08-28,2025-09-11,REMISE EFFET/ESCOMPTE AGENCE DU 28 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-28,0.0,0.0,0.0,,,,
240018,-631.706,2025-08-28,2025-09-11,REMISE EFFET/ESCOMPTE AGENCE DU 28 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-28,0.0,0.0,0.0,,,,
240014,-1780.929,2025-08-28,2025-09-11,REMISE EFFET/ESCOMPTE AGENCE DU 28 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-28,0.0,0.0,0.0,,,,
240076,-1167.402,2025-09-01,2025-09-16,REMISE EFFET/ESCOMPTE AGENCE DU 01 09 2025,,False,,,,,,,BEB24000395,1147.386,20.016000000000076,False,,,,,"BEB24000395,EFB250000645,EFB250000646,EFB250000643,VICL210670,EFB250000644","EFB250000645,EFB250000646,EFB250000643,VICL210670,EFB250000644",,"[{""doc_number"": ""BEB24000395"", ""total_amount"": 292029.192, ""simulated_agios"": 1147.386, ""transaction_count"": 4, ""customer_transactions"": [{""id"": 163280, ""document_number"": ""BEB24000395"", ""external_doc_number"": ""10938876725"", ""accounting_date"": ""2025-09-01"", ""description"": ""Validation Effet escompt\u00e9 en Banque"", ""amount"": 1299.444, ""total_amount"": 73007.298, ""debit_amount"": null, ""credit_amount"": 1299.444, ""payment_type"": ""CLT EFFET"", ""account_number"": ""53-5""}, {""id"": 163281, ""document_number"": ""BEB24000395"", ""external_doc_number"": ""10938866734"", ""accounting_date"": ""2025-09-01"", ""description"": ""Validation Effet escompt\u00e9 en Banque"", ""amount"": 33878.724, ""total_amount"": 73007.298, ""debit_amount"": null, ""credit_amount"": 33878.724, ""payment_type"": ""CLT EFFET"", ""account_number"": ""53-5""}, {""id"": 163279, ""document_number"": ""BEB24000395"", ""external_doc_number"": ""10938871002"", ""accounting_date"": ""2025-09-01"", ""description"": ""Validation Effet escompt\u00e9 en Banque"", ""amount"": 16546.413, ""total_amount"": 73007.298, ""debit_amount"": null, ""credit_amount"": 16546.413, ""payment_type"": ""CLT EFFET"", ""account_number"": ""53-5""}, {""id"": 163278, ""document_number"": ""BEB24000395"", ""external_doc_number"": ""10938870905"", ""accounting_date"": ""2025-09-01"", ""description"": ""Validation Effet escompt\u00e9 en Banque"", ""amount"": 21282.717, ""total_amount"": 73007.298, ""debit_amount"": null, ""credit_amount"": 21282.717, ""payment_type"": ""CLT EFFET"", ""account_number"": ""53-5""}]}, {""doc_number"": ""EFB250000645"", ""total_amount"": 75717.083, ""simulated_agios"": 0, ""transaction_count"": 1, ""customer_transactions"": [{""id"": 163276, ""document_number"": ""EFB250000645"", ""external_doc_number"": ""10155473394"", ""accounting_date"": ""2025-09-01"", ""description"": ""Paiement Traite Fournisseur"", ""amount"": -75717.083, ""total_amount"": -75717.083, ""debit_amount"": 75717.083, ""credit_amount"": null, ""payment_type"": ""FRS EFFET"", ""account_number"": ""53-5""}]}, {""doc_number"": ""EFB250000646"", ""total_amount"": 84550.497, ""simulated_agios"": 0, ""transaction_count"": 1, ""customer_transactions"": [{""id"": 163277, ""document_number"": ""EFB250000646"", ""external_doc_number"": ""10396999514"", ""accounting_date"": ""2025-09-01"", ""description"": ""Paiement Traite Fournisseur"", ""amount"": -84550.497, ""total_amount"": -84550.497, ""debit_amount"": 84550.497, ""credit_amount"": null, ""payment_type"": ""FRS EFFET"", ""account_number"": ""53-5""}]}, {""doc_number"": ""EFB250000643"", ""total_amount"": 32434.191, ""simulated_agios"": 0, ""transaction_count"": 1, ""customer_transactions"": [{""id"": 163274, ""document_number"": ""EFB250000643"", ""external_doc_number"": ""10396998350"", ""accounting_date"": ""2025-09-01"", ""description"": ""Paiement Traite Fournisseur"", ""amount"": -32434.191, ""total_amount"": -32434.191, ""debit_amount"": 32434.191, ""credit_amount"": null, ""payment_type"": ""FRS EFFET"", ""account_number"": ""53-5""}]}, {""doc_number"": ""VICL210670"", ""total_amount"": 25899.532, ""simulated_agios"": 0, ""transaction_count"": 1, ""customer_transactions"": [{""id"": 163273, ""document_number"": ""VICL210670"", ""external_doc_number"": ""1"", ""accounting_date"": ""2025-09-01"", ""description"": ""Virement Re\u00e7u"", ""amount"": 25899.532, ""total_amount"": 25899.532, ""debit_amount"": null, ""credit_amount"": 25899.532, ""payment_type"": ""CLT VIR"", ""account_number"": ""53-5""}]}, {""doc_number"": ""EFB250000644"", ""total_amount"": 150824.735, ""simulated_agios"": 0, ""transaction_count"": 1, ""customer_transactions"": [{""id"": 163275, ""document_number"": ""EFB250000644"", ""external_doc_number"": ""10155466992"", ""accounting_date"": ""2025-09-01"", ""description"": ""Paiement Traite Fournisseur"", ""amount"": -150824.735, ""total_amount"": -150824.735, ""debit_amount"": 150824.735, ""credit_amount"": null, ""payment_type"": ""FRS EFFET"", ""account_number"": ""53-5""}]}]"
240130,-1784.06,2025-09-02,2025-09-23,REMISE EFFET/ESCOMPTE AGENCE DU 02 09 2025,,False,,,,,,,BEB24000391,1746.598,37.46199999999999,False,,,,,BEB24000391,,,"[{""doc_number"": ""BEB24000391"", ""total_amount"": 218658.30000000002, ""simulated_agios"": 1746.598, ""transaction_count"": 3, ""customer_transactions"": [{""id"": 163283, ""document_number"": ""BEB24000391"", ""external_doc_number"": ""10396680578"", ""accounting_date"": ""2025-09-02"", ""description"": ""Validation Effet escompt\u00e9 en Banque"", ""amount"": 15305.913, ""total_amount"": 72886.1, ""debit_amount"": null, ""credit_amount"": 15305.913, ""payment_type"": ""CLT EFFET"", ""account_number"": ""53-5""}, {""id"": 163284, ""document_number"": ""BEB24000391"", ""external_doc_number"": ""10815215111"", ""accounting_date"": ""2025-09-02"", ""description"": ""Validation Effet escompt\u00e9 en Banque"", ""amount"": 14947.497, ""total_amount"": 72886.1, ""debit_amount"": null, ""credit_amount"": 14947.497, ""payment_type"": ""CLT EFFET"", ""account_number"": ""53-5""}, {""id"": 163282, ""document_number"": ""BEB24000391"", ""external_doc_number"": ""10815215596"", ""accounting_date"": ""2025-09-02"", ""description"": ""Validation Effet escompt\u00e9 en Banque"", ""amount"": 42632.69, ""total_amount"": 72886.1, ""debit_amount"": null, ""credit_amount"": 42632.69, ""payment_type"": ""CLT EFFET"", ""account_number"": ""53-5""}]}]"
