agios_id,agios_amount,agios_date_ref,agios_operation_date,agios_label,agios_ref,matched,match_method,origine_id,origine_ref,origine_date_ref,origine_amount,origine_internal_number,customer_doc_number,simulated_agios,difference,is_total_match,match_failure_reason,checked_doc_numbers_count,no_tax_rows_docs_count,mismatch_docs_count,checked_doc_numbers,no_tax_rows_doc_numbers,mismatch_doc_details,checked_customer_transactions_details
226244,-1167.402,2025-09-01,2025-09-16,REMISE EFFET/ESCOMPTE AGENCE DU 01 09 2025,,True,customer_tax_matching,226086.0,,,73007.298,INT_4D690ECA,BEB24000395,1147.386,20.016000000000076,False,,,,,,,,
226298,-1784.06,2025-09-02,2025-09-23,REMISE EFFET/ESCOMPTE AGENCE DU 02 09 2025,,True,customer_tax_matching,226133.0,,,72886.1,INT_F91F66CF,BEB24000391,1746.598,37.46199999999999,False,,,,,,,,
226256,-4082.303,2025-09-03,2025-09-17,REMISE EFFET/ESCOMPTE AGENCE DU 03 09 2025,,True,customer_tax_matching,226144.0,,,162476.155,INT_8C88E201,BEB24000392,4017.435,64.86799999999994,False,,,,,,,,
226254,-1362.043,2025-09-05,2025-09-17,REMISE EFFET/ESCOMPTE AGENCE DU 05 09 2025,,True,customer_tax_matching,226153.0,,,50611.934,INT_2F1AD2FB,BEB24000393,1347.792,14.250999999999976,False,,,,,,,,
226297,-2807.195,2025-09-10,2025-09-23,REMISE EFFET/ESCOMPTE AGENCE DU 10 09 2025,,True,customer_tax_matching,226181.0,,,146066.187,INT_B3403A17,BEB24000394,2738.836,68.35900000000038,False,,,,,,,,
226299,-2576.998,2025-09-12,2025-09-23,REMISE EFFET/ESCOMPTE AGENCE DU 12 09 2025,,True,customer_tax_matching,226224.0,,,107217.91,INT_81A19C0A,BEB24000412,2526.408,50.590000000000146,False,,,,,,,,
226316,-7276.187,2025-09-15,2025-09-25,REMISE EFFET/ESCOMPTE AGENCE DU 15 09 2025,,True,customer_tax_matching,226235.0,,,358980.296,INT_3789A040,BEB24000411,7135.198,140.98899999999958,False,,,,,,,,
226080,-3314.174,2025-08-15,2025-09-01,REMISE EFFET/ESCOMPTE AGENCE DU 15 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-15,0.0,0.0,0.0,,,,
226079,-6017.944,2025-08-15,2025-09-01,REMISE EFFET/ESCOMPTE AGENCE DU 15 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-15,0.0,0.0,0.0,,,,
226085,-271.343,2025-08-18,2025-09-01,REMISE EFFET/ESCOMPTE AGENCE DU 18 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-18,0.0,0.0,0.0,,,,
226083,-861.924,2025-08-18,2025-09-01,REMISE EFFET/ESCOMPTE AGENCE DU 18 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-18,0.0,0.0,0.0,,,,
