bank_transaction_id,bank_operation_date,bank_amount,bank_ref,bank_payment_class,bank_label,customer_transaction_id,customer_accounting_date,customer_amount,customer_total_amount,customer_document_number,customer_external_doc_number,customer_payment_type,customer_description,score
158927,2025-01-29,-350.0,,FRS CHQ,RETRAIT CHEQUE TND,92173,2025-01-29,-6171.464,-6171.464,CHP250000095,4882406,FRS CHQ,Paiement ChèquesFournisseur,23.75
158929,2025-01-29,-26196.409,,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,92169,2025-01-28,-19564.669,-19564.669,BVC250000114,10287816411,CLT EFFET,Valider Impayé via escompte,22.5
158930,2025-01-29,-28750.0,,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,92117,2025-01-21,-28750.0,-28750.0,BVC250000205,10155321395,CLT EFFET,Valider Impayé via escompte,75.0
158935,2025-01-28,-28750.0,,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,92117,2025-01-21,-28750.0,-28750.0,BVC250000205,10155321395,CLT EFFET,Valider Impayé via escompte,75.0
158937,2025-01-24,-100000.0,,FRS CHQ,REGLEMENT CHEQUE N,92136,2025-01-24,-3994.435,-3994.435,CHP250000074,4882385,FRS CHQ,Paiement ChèquesFournisseur,23.75
158938,2025-01-23,-200000.0,,FRS CHQ,REGLEMENT CHEQUE N,92123,2025-01-22,-584.1,-584.1,CHP250000067,4882399,FRS CHQ,Paiement ChèquesFournisseur,22.5
158939,2025-01-22,-2770.515,,FRS CHQ,REGLEMENT CHEQUE N,92123,2025-01-22,-584.1,-584.1,CHP250000067,4882399,FRS CHQ,Paiement ChèquesFournisseur,23.75
158940,2025-01-21,-28750.0,,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,92117,2025-01-21,-28750.0,-28750.0,BVC250000205,10155321395,CLT EFFET,Valider Impayé via escompte,83.75
158943,2025-01-20,168255.582,,CLT EFFET,ACCORD ESCOMPTE > ACCORD ESCOMPTE,92107,2025-01-20,7883.77,7883.77,BEB24000128,10155327894,CLT EFFET,Validation Effet escompté en Banque,23.75
158944,2025-01-20,172129.645,,CLT EFFET,ACCORD ESCOMPTE > ACCORD ESCOMPTE,92107,2025-01-20,7883.77,7883.77,BEB24000128,10155327894,CLT EFFET,Validation Effet escompté en Banque,23.75
158947,2025-01-16,-3000.0,,FRS CHQ,REGLEMENT CHEQUE N,92061,2025-01-16,-207.58,-207.58,CHP250000041,4882442,FRS CHQ,Paiement ChèquesFournisseur,23.75
158948,2025-01-14,-28750.0,,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,92117,2025-01-21,-28750.0,-28750.0,BVC250000205,10155321395,CLT EFFET,Valider Impayé via escompte,75.0
158949,2025-01-14,-14600.0,,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,92030,2025-01-13,87672.201,342783.739,BEB24000096,10155409180,CLT EFFET,Validation Effet escompté en Banque,22.5
158951,2025-01-14,-34375.83,,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,92030,2025-01-13,87672.201,342783.739,BEB24000096,10155409180,CLT EFFET,Validation Effet escompté en Banque,22.5
158954,2025-01-14,-200000.0,,FRS CHQ,REGLEMENT CHEQUE N,92052,2025-01-15,-17112.411,-17112.411,CHP250000102,4882429,FRS CHQ,Paiement ChèquesFournisseur,22.5
158958,2025-01-13,142211.684,,CLT EFFET,ACCORD ESCOMPTE > ACCORD ESCOMPTE,92030,2025-01-13,87672.201,342783.739,BEB24000096,10155409180,CLT EFFET,Validation Effet escompté en Banque,23.75
158963,2025-01-09,165791.763,,CLT EFFET,ACCORD ESCOMPTE > ACCORD ESCOMPTE,92030,2025-01-13,87672.201,342783.739,BEB24000096,10155409180,CLT EFFET,Validation Effet escompté en Banque,21.25
158964,2025-01-08,-12984.0,,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,92007,2025-01-06,44921.631,446805.866,BEB24000085,10155414127,CLT EFFET,Validation Effet escompté en Banque,21.25
158965,2025-01-08,-16500.0,,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,92007,2025-01-06,44921.631,446805.866,BEB24000085,10155414127,CLT EFFET,Validation Effet escompté en Banque,21.25
