agios_id,agios_amount,agios_date_ref,agios_operation_date,agios_label,agios_ref,matched,match_method,origine_id,origine_ref,origine_date_ref,origine_amount,origine_internal_number,customer_doc_number,simulated_agios,difference,is_total_match,match_failure_reason,checked_doc_numbers_count,no_tax_rows_docs_count,mismatch_docs_count
224988,-1167.402,2025-09-01,2025-09-16,REMISE EFFET/ESCOMPTE AGENCE DU 01 09 2025,,True,customer_tax_matching,224830.0,,,73007.298,INT_ACFC2502,BEB24000395,1147.386,20.016000000000076,False,,,,
225042,-1784.06,2025-09-02,2025-09-23,REMISE EFFET/ESCOMPTE AGENCE DU 02 09 2025,,True,customer_tax_matching,224877.0,,,72886.1,INT_3B088F0D,BEB24000391,1746.598,37.46199999999999,False,,,,
225000,-4082.303,2025-09-03,2025-09-17,REMISE EFFET/ESCOMPTE AGENCE DU 03 09 2025,,True,customer_tax_matching,224888.0,,,162476.155,INT_30A3D52A,BEB24000392,4017.435,64.86799999999994,False,,,,
224998,-1362.043,2025-09-05,2025-09-17,REMISE EFFET/ESCOMPTE AGENCE DU 05 09 2025,,True,customer_tax_matching,224897.0,,,50611.934,INT_A79C5DE4,BEB24000393,1347.792,14.250999999999976,False,,,,
225041,-2807.195,2025-09-10,2025-09-23,REMISE EFFET/ESCOMPTE AGENCE DU 10 09 2025,,True,customer_tax_matching,224925.0,,,146066.187,INT_6E13B92A,BEB24000394,2738.836,68.35900000000038,False,,,,
225043,-2576.998,2025-09-12,2025-09-23,REMISE EFFET/ESCOMPTE AGENCE DU 12 09 2025,,True,customer_tax_matching,224968.0,,,107217.91,INT_5C7426B4,BEB24000412,2526.408,50.590000000000146,False,,,,
225060,-7276.187,2025-09-15,2025-09-25,REMISE EFFET/ESCOMPTE AGENCE DU 15 09 2025,,True,customer_tax_matching,224979.0,,,358980.296,INT_25D3334D,BEB24000411,7135.198,140.98899999999958,False,,,,
224824,-3314.174,2025-08-15,2025-09-01,REMISE EFFET/ESCOMPTE AGENCE DU 15 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-15,,,
224823,-6017.944,2025-08-15,2025-09-01,REMISE EFFET/ESCOMPTE AGENCE DU 15 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-15,,,
224829,-271.343,2025-08-18,2025-09-01,REMISE EFFET/ESCOMPTE AGENCE DU 18 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-18,,,
224827,-861.924,2025-08-18,2025-09-01,REMISE EFFET/ESCOMPTE AGENCE DU 18 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-18,,,
224825,-1929.211,2025-08-18,2025-09-01,REMISE EFFET/ESCOMPTE AGENCE DU 18 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-18,,,
224826,-6383.214,2025-08-18,2025-09-01,REMISE EFFET/ESCOMPTE AGENCE DU 18 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-18,,,
224876,-1780.414,2025-08-21,2025-09-02,REMISE EFFET/ESCOMPTE AGENCE DU 21 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-21,,,
224875,-4385.5,2025-08-25,2025-09-02,REMISE EFFET/ESCOMPTE AGENCE DU 25 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-25,,,
224928,-541.394,2025-08-28,2025-09-11,REMISE EFFET/ESCOMPTE AGENCE DU 28 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-28,,,
224930,-631.706,2025-08-28,2025-09-11,REMISE EFFET/ESCOMPTE AGENCE DU 28 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-28,,,
224926,-1780.929,2025-08-28,2025-09-11,REMISE EFFET/ESCOMPTE AGENCE DU 28 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-28,,,
224999,-2063.271,2025-09-05,2025-09-17,REMISE EFFET/ESCOMPTE AGENCE DU 05 09 2025,,False,,,,,,,,,,False,Could not find matching customer group within 5% tolerance (checked 3 doc_numbers),3.0,2.0,1.0
225005,-3860.531,2025-09-08,2025-09-18,REMISE EFFET/ESCOMPTE AGENCE DU 08 09 2025,,False,,,,,,,,,,False,Could not find matching customer group within 5% tolerance (checked 1 doc_numbers),1.0,0.0,1.0
225061,-1402.857,2025-09-15,2025-09-25,REMISE EFFET/ESCOMPTE AGENCE DU 15 09 2025,,False,,,,,,,,,,False,Could not find matching customer group within 5% tolerance (checked 3 doc_numbers),3.0,2.0,1.0
225062,-1112.345,2025-09-17,2025-09-25,REMISE EFFET/ESCOMPTE AGENCE DU 17 09 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-09-17,,,
