bank_transaction_id,bank_operation_date,bank_amount,bank_ref,bank_payment_class,bank_label,customer_transaction_id,customer_accounting_date,customer_amount,customer_total_amount,customer_document_number,customer_external_doc_number,customer_payment_type,customer_description,score
252501,2025-09-01,-1.0,,ECH CREDIT,REGLEMENT ECHEANCE LEASING DROIT DE TIMBRE A PAYER,,,,,,,,,-1.0
252504,2025-09-01,-1297.521,,ECH CREDIT,REGLEMENT ECHEANCE LEASING LOYER T.T.C,,,,,,,,,-1.0
252507,2025-09-01,-1297.521,,ECH CREDIT,REGLEMENT ECHEANCE LEASING LOYER T.T.C,,,,,,,,,-1.0
252513,2025-09-01,-1297.521,,ECH CREDIT,REGLEMENT ECHEANCE LEASING LOYER T.T.C,,,,,,,,,-1.0
252516,2025-09-01,-1297.521,,ECH CREDIT,REGLEMENT ECHEANCE LEASING LOYER T.T.C,,,,,,,,,-1.0
252522,2025-09-01,-150000.0,,ECH CREDIT,REMBOURSEMENT ECHEANCE CREDIT DU 31 08 2025,,,,,,,,,-1.0
252596,2025-09-11,-53331.964,,ECH CREDIT,REGL PRINCIAPL CREDIT IMPAYE DU  31 08 2025,,,,,,,,,-1.0
252600,2025-09-11,-76936.47,,ECH CREDIT,REGL PRINCIAPL CREDIT IMPAYE DU  31 08 2025,,,,,,,,,-1.0
252608,2025-09-11,-23259.546,,ECH CREDIT,REGL PRINCIAPL CREDIT IMPAYE DU  31 08 2025,,,,,,,,,-1.0
252612,2025-09-11,-26408.461,,ECH CREDIT,REGL PRINCIAPL CREDIT IMPAYE DU  31 08 2025,,,,,,,,,-1.0
252652,2025-09-17,-18719.325,9914991091,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 160925 LCN 9914991091,169132.0,2025-09-16,9956.272,9956.272,EES250000478,nan,CLT EFFET,Validation Effet encaissé en Banque,22.5
252663,2025-09-18,-18731.616,10155486004,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 170925 LCN 10155486004,169132.0,2025-09-16,9956.272,9956.272,EES250000478,nan,CLT EFFET,Validation Effet encaissé en Banque,21.25
252664,2025-09-19,19335.199,0489003,CLT CHQ,ENCAISSEMENT REMISE CHEQUES DU 18 09 2025 Bordereau No0489003,169133.0,2025-09-18,10000.0,41472.477,BVC250001045,69300,CLT CHQ,Chèque en Banque,22.5
252667,2025-09-19,22137.278,0489002,CLT CHQ,ENCAISSEMENT REMISE CHEQUES DU 18 09 2025 Bordereau No0489002,169133.0,2025-09-18,10000.0,41472.477,BVC250001045,69300,CLT CHQ,Chèque en Banque,22.5
252727,2025-09-26,-24208.188,10816996516,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 250925 LCN 10816996516,169167.0,2025-09-30,1186.821,1186.821,EES250000499,10938870226,CLT EFFET,Validation Effet encaissé en Banque,21.25
252730,2025-09-26,-5515.357,10706219024,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 250925 LCN 10706219024,169167.0,2025-09-30,1186.821,1186.821,EES250000499,10938870226,CLT EFFET,Validation Effet encaissé en Banque,21.25
252733,2025-09-26,-4000.0,10816998165,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 250925 LCN 10816998165,169167.0,2025-09-30,1186.821,1186.821,EES250000499,10938870226,CLT EFFET,Validation Effet encaissé en Banque,21.25
252510,2025-09-01,-1297.521,,ECH CREDIT,REGLEMENT ECHEANCE LEASING LOYER T.T.C,,,,,,,,,-1.0
252519,2025-09-01,-3554.231,,ECH CREDIT,REGLEMENT ECHEANCE LEASING LOYER T.T.C,,,,,,,,,-1.0
252604,2025-09-11,-17142.852,,ECH CREDIT,REGL PRINCIAPL CREDIT IMPAYE DU  31 08 2025,,,,,,,,,-1.0
252784,2025-09-30,262505.319,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,169167.0,2025-09-30,1186.821,1186.821,EES250000499,10938870226,CLT EFFET,Validation Effet encaissé en Banque,23.75
252639,2025-09-16,-37236.982,10396990881,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 150925 LCN 10396990881,169132.0,2025-09-16,9956.272,9956.272,EES250000478,nan,CLT EFFET,Validation Effet encaissé en Banque,23.75
252649,2025-09-17,72291.267,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,169132.0,2025-09-16,9956.272,9956.272,EES250000478,nan,CLT EFFET,Validation Effet encaissé en Banque,22.5
252660,2025-09-18,-31268.47,10155444391,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 150925 LCN 10155444391,169132.0,2025-09-16,9956.272,9956.272,EES250000478,nan,CLT EFFET,Validation Effet encaissé en Banque,21.25
252754,2025-09-29,9956.272,010155450017,CLT EFFET,PAYEMENT EFFET/ENCAISSEMENT LCN 010155450017,169132.0,2025-09-16,9956.272,9956.272,EES250000478,nan,CLT EFFET,Validation Effet encaissé en Banque,60.0
252759,2025-09-30,-18731.616,10155486101,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 270925 LCN 10155486101,169167.0,2025-09-30,1186.821,1186.821,EES250000499,10938870226,CLT EFFET,Validation Effet encaissé en Banque,23.75
